SeniorCitizen,Partner,Dependents,tenure,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,PaperlessBilling,MonthlyCharges,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
1,1,1,-0.9924020376385532,0,0,0,0,0,1,0.5214156481331973,0,1,0,1,0,0,0,1,0,0,1
1,0,0,-1.2041631007266997,1,0,0,0,0,1,0.34128335447926605,0,1,0,1,0,0,0,0,0,1,1
1,1,0,0.5776835605788915,0,0,0,0,0,1,0.4764228174041578,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-0.1779947632379461,0,0,0,1,1,1,-0.9642308700153168,1,0,0,1,0,0,0,0,0,1,0
0,1,0,-0.5851984004382496,1,0,1,0,0,0,-0.2646143329453791,1,0,0,1,0,0,0,1,0,0,0
1,1,0,0.0663274190822359,0,1,0,0,1,0,0.8438042661654253,0,1,0,0,1,0,0,0,0,1,0
0,1,0,1.4100994218432374,1,0,1,1,1,1,1.4935668932303794,0,1,0,0,1,0,0,1,0,0,0
0,0,0,-0.9109613101984924,1,0,0,0,0,0,-1.2982520670487077,0,0,1,0,0,1,1,0,0,0,0
0,1,1,-0.4126741638449252,0,0,1,0,1,0,-0.3233396604882225,1,0,0,1,0,0,0,0,1,0,1
0,0,0,1.369379058123207,1,0,0,1,0,1,0.9102761461720702,0,1,0,0,1,0,1,0,0,0,0
0,0,0,1.0436161483629645,1,1,0,0,0,1,0.4998122871310375,0,1,0,1,0,0,1,0,0,0,0
0,0,0,-1.0331224013585834,0,1,0,1,0,0,-0.979187043016812,1,0,0,0,1,0,0,0,0,1,0
1,1,0,1.3286586944031769,1,1,0,0,0,1,1.1961052302006432,0,1,0,0,1,0,0,0,1,0,0
0,1,0,-0.7888002190384014,1,0,0,1,0,1,0.3502505571160864,1,0,0,0,1,0,0,0,0,1,1
0,1,1,-0.1372743995179157,0,0,0,0,0,1,0.1990270301009692,0,1,0,1,0,0,0,0,1,0,1
1,1,0,1.4789220678494364,1,0,1,1,1,1,1.466838365787435,0,1,0,0,0,1,1,0,0,0,1
0,0,0,-0.62591876415828,0,0,0,0,0,0,-1.505976692069473,0,0,1,0,0,1,0,1,0,0,0
1,0,0,-1.188486211511283,0,0,0,1,0,1,0.5130428296779646,0,1,0,1,0,0,0,0,0,1,1
0,0,0,-1.0103132528773893,0,1,0,0,0,1,-0.44644540597412163,1,0,0,1,0,0,0,0,0,1,1
1,0,0,-0.9176946523048395,1,0,1,1,0,1,1.334260395719588,0,1,0,1,0,0,0,0,1,0,1
1,0,0,-1.2774445836787656,1,0,0,0,0,1,0.3792380081360434,0,1,0,1,0,0,0,0,1,0,1
0,1,0,1.369379058123207,1,0,1,0,1,1,1.305783832211607,0,1,0,0,1,0,0,0,1,0,1
0,0,0,-1.2774445836787656,0,0,0,0,0,0,-0.6551366279844181,1,0,0,1,0,0,0,0,0,1,1
0,0,0,-0.2594354906780068,0,0,0,0,0,0,-1.4577845790646555,0,0,1,1,0,0,0,0,0,1,0
0,0,0,-1.2774445836787656,0,0,0,0,0,0,-1.4760643460664828,0,0,1,1,0,0,0,0,0,1,0
0,1,0,-1.2544736090264164,0,0,0,0,0,1,0.15185784407016623,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-1.2774445836787656,0,0,0,1,0,1,0.6676537841478158,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-1.1888837762495026,0,0,0,0,0,0,-0.4254070303195946,1,0,0,1,0,0,0,0,1,0,1
0,0,1,-0.8295205827584317,0,0,0,0,0,1,-0.6717545979860794,1,0,0,1,0,0,0,0,1,0,1
0,0,0,-0.9516816739185228,0,0,0,0,0,1,-1.491020519067978,0,0,1,0,1,0,0,0,1,0,0
0,0,0,-0.7888002190384014,1,0,1,1,0,1,0.6543594081464871,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-0.6955565839568916,1,0,0,0,1,1,1.1763755658186223,0,1,0,1,0,0,0,0,0,1,1
1,0,0,-0.62591876415828,0,0,1,1,0,1,1.2310029672041316,0,1,0,1,0,0,0,0,1,0,0
0,0,0,-1.0817688265759933,0,0,0,0,1,1,0.8188747914128607,0,1,0,1,0,0,0,1,0,0,1
0,1,1,1.6137012404433893,0,1,1,1,1,1,-0.3094828519498643,1,0,0,0,0,1,0,1,0,0,0
0,0,0,-1.2774445836787656,0,0,0,0,0,1,0.49257185985675606,0,1,0,1,0,0,0,0,1,0,1
0,1,1,0.0663274190822359,0,0,0,0,0,1,-1.4843733310673135,0,0,1,0,1,0,1,0,0,0,0
1,1,0,-0.2594354906780068,1,0,0,1,0,1,1.1080299891918384,0,1,0,1,0,0,1,0,0,0,0
0,0,0,-1.2774445836787656,0,0,0,0,0,1,-0.6335332669822583,1,0,0,1,0,0,0,0,0,1,1
0,1,0,1.0843365120829946,0,0,0,0,0,0,-1.5408744290729617,0,0,1,0,0,1,1,0,0,0,0
0,0,0,-0.8164669547802904,1,0,1,0,0,1,0.8255023388645462,0,1,0,1,0,0,1,0,0,0,1
1,1,0,-0.8311233661463775,0,0,1,0,0,1,0.4967623097619771,0,1,0,1,0,0,0,0,1,0,1
1,0,0,0.0256070553622056,1,0,1,1,1,1,1.5184938482328711,0,1,0,1,0,0,0,0,1,0,1
0,1,1,1.4508197855632678,0,0,0,0,0,1,-1.4893587220678115,0,0,1,0,0,1,1,0,0,0,0
0,1,1,-1.1145631287986442,1,0,0,0,0,1,-1.2916048790480432,0,0,1,1,0,0,1,0,0,0,1
1,1,1,0.3106496014024181,1,0,0,0,0,1,0.9900424021800438,0,1,0,1,0,0,0,1,0,0,1
1,0,0,-0.7073594915983407,1,0,0,0,0,0,0.3618831361172495,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-0.7888002190384014,0,0,1,1,0,1,0.4815325201292102,0,1,0,1,0,0,0,0,1,0,1
0,1,0,1.0436161483629645,0,1,1,1,0,0,-0.1482885429337505,1,0,0,0,1,0,0,1,0,0,1
0,0,0,-1.2347060919298107,1,0,0,0,0,1,0.39087492289848036,0,1,0,1,0,0,0,0,1,0,1
0,1,0,-0.9516816739185228,1,0,1,1,0,1,0.142525932095321,1,0,0,1,0,0,0,1,0,0,0
0,1,0,-1.2742121014173247,0,0,0,0,0,1,-1.3720435506691298,1,0,0,1,0,0,0,0,1,0,1
0,0,0,-0.2187151269579764,1,0,0,0,0,1,1.0249401391835322,0,1,0,1,0,0,1,0,0,0,0
0,1,1,1.5729808767233588,0,0,0,0,0,0,-1.491020519067978,0,0,1,0,0,1,1,0,0,0,0
0,1,1,1.5729808767233588,0,0,0,0,0,0,-1.4710789550659844,0,0,1,0,0,1,1,0,0,0,0
0,1,0,1.125056875803025,1,0,0,1,0,0,1.2093996062019725,0,1,0,0,0,1,0,1,0,0,0
1,0,0,-1.0929378047423437,1,0,0,0,0,1,0.6166684918965477,0,1,0,1,0,0,0,1,0,0,1
0,1,1,-0.62591876415828,0,1,0,0,1,0,0.9003053641710731,0,1,0,1,0,0,0,0,1,0,1
0,1,1,-0.5037576729981889,0,0,0,1,0,1,-0.5039131009693008,1,0,0,1,0,0,0,0,1,0,0
0,0,0,-0.11370790555937399,0,0,0,0,0,1,-0.05980945385464361,1,0,0,1,0,0,0,0,1,0,1
0,0,0,-1.2774445836787656,0,0,0,0,0,0,0.4930897469073033,0,1,0,1,0,0,0,0,1,0,1
0,1,1,-0.4630373092781585,0,0,0,0,0,1,-1.286619488047545,1,0,0,1,0,0,0,0,1,0,0
0,1,1,-0.5037576729981889,0,0,0,0,0,0,-1.4976677070686424,0,0,1,0,1,0,1,0,0,0,0
0,0,0,-0.5851984004382496,0,0,0,1,1,0,-0.3177918369506949,1,0,0,1,0,0,0,1,0,0,0
0,1,0,0.7992939660427822,1,0,1,0,1,1,1.0266019361836989,0,1,0,1,0,0,0,1,0,0,0
0,0,0,-1.2705076905356874,0,0,0,0,0,0,0.18314803462810036,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-1.2774445836787656,0,0,1,0,0,1,0.32077435839565716,0,1,0,1,0,0,0,0,1,0,1
0,1,1,-1.276210250185455,0,0,0,0,1,0,-0.8151209503593903,1,0,0,1,0,0,0,0,1,0,1
0,0,0,-1.2774445836787656,1,0,0,0,0,0,0.3946830795541868,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-1.2774445836787656,0,0,0,0,0,1,0.182409060099308,0,1,0,1,0,0,0,0,1,0,1
0,1,1,-0.6207718543766827,0,0,0,0,0,0,0.5340798883655536,0,1,0,1,0,0,0,0,1,0,1
0,1,0,-0.7073594915983407,1,0,0,0,0,1,-0.454059190964317,1,0,0,1,0,0,0,0,1,0,0
0,1,1,-0.055833672077855,0,0,0,0,0,1,-1.4660935640654862,0,0,1,1,0,0,0,0,1,0,0
0,0,0,-1.0364136178993504,1,1,0,0,1,0,0.009360810797485908,1,0,0,1,0,0,0,0,1,0,1
0,1,0,1.4508197855632678,0,0,1,0,1,1,1.181149057199148,0,1,0,0,1,0,0,0,1,0,0
0,1,0,0.9621754209229036,1,0,1,1,0,0,-0.1748772949364084,1,0,0,0,0,1,0,1,0,0,0
0,1,1,0.4328106925625091,0,0,0,0,0,0,-0.2862176939475387,1,0,0,1,0,0,0,0,1,0,1
0,0,0,-1.0331224013585834,0,0,0,0,1,1,0.1990270301009692,1,0,0,1,0,0,0,1,0,0,1
0,1,0,1.247217966963116,1,1,1,1,1,0,0.5064594751317021,1,0,0,0,1,0,0,1,0,0,0
0,1,0,1.6137012404433893,1,1,1,0,0,1,0.9867188081797118,0,1,0,0,0,1,0,1,0,0,0
0,1,0,1.125056875803025,0,0,0,0,0,0,-1.4893587220678115,0,0,1,0,0,1,0,0,0,1,0
1,0,0,0.758573602322752,1,0,0,1,0,1,1.0980592071908415,0,1,0,1,0,0,0,0,1,0,1
0,1,0,0.0829827542264843,0,1,0,1,1,1,1.2425439069947715,0,1,0,0,1,0,0,0,1,0,1
0,0,0,-0.1779947632379461,0,0,0,0,0,1,0.5264010391336954,0,1,0,1,0,0,0,0,1,0,0
0,0,0,0.6364125111626608,1,0,1,1,0,1,1.4171242312227377,0,1,0,1,0,0,1,0,0,0,1
0,0,0,-0.7203138934101575,0,0,0,0,1,0,-0.29871262397761233,1,0,0,1,0,0,0,0,0,1,1
0,0,0,0.5549717837226001,1,1,1,0,0,0,0.6477122201458225,0,1,0,1,0,0,0,0,0,1,0
0,1,0,1.6137012404433893,1,1,0,1,1,1,0.6526976111463211,1,0,0,0,0,1,0,1,0,0,0
1,0,0,-0.23068106774946068,1,0,1,0,0,1,0.593962131975907,0,1,0,1,0,0,0,0,1,0,1
0,1,1,-0.1372743995179157,1,0,1,1,0,0,0.5097830691320341,1,0,0,1,0,0,0,1,0,0,0
0,0,0,-0.9516816739185228,1,0,0,0,0,1,0.9966895901807084,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-0.2187151269579764,0,0,0,0,0,0,-1.4926823160681442,0,0,1,0,0,1,0,1,0,0,0
0,1,1,-0.5444780367182193,1,0,0,1,1,0,1.2808568772091151,0,1,0,1,0,0,0,0,1,0,1
0,1,1,1.5729808767233588,1,1,1,1,1,0,0.8354952811645946,1,0,0,0,0,1,0,1,0,0,0
0,0,0,1.1657772395230557,1,1,0,1,1,1,1.5567151792366918,0,1,0,0,0,1,0,1,0,0,1
0,0,0,-1.0331224013585834,0,0,0,1,1,0,-0.0651986929254444,1,0,0,1,0,0,1,0,0,0,0
0,0,0,-0.9924020376385532,0,0,0,0,0,0,-0.7049905379894018,1,0,0,1,0,0,0,0,0,1,0
0,1,1,-0.1779947632379461,1,0,0,0,1,1,0.8537750481664219,0,1,0,0,1,0,0,0,1,0,0
0,1,1,-0.748079855318371,0,0,0,0,0,0,0.180747263099142,0,1,0,1,0,0,0,0,1,0,0
1,1,1,-0.8295205827584317,0,0,0,0,1,1,-1.1786026830367469,1,0,0,1,0,0,0,0,0,1,0
0,1,1,-1.2367242199587352,0,0,0,0,0,0,-1.4926823160681442,0,0,1,0,1,0,0,0,0,1,1
0,1,1,1.5322605130033284,1,1,1,1,1,1,1.6747027662484868,0,1,0,0,0,1,0,1,0,0,0
1,0,0,-1.1145631287986442,0,0,0,0,0,0,-1.4860351280674795,0,0,1,1,0,0,1,0,0,0,0
0,1,1,-0.1779947632379461,1,0,0,0,0,0,-0.4939423189683041,1,0,0,1,0,0,0,0,0,1,0
0,1,1,-0.9924020376385532,0,0,0,0,1,1,0.1259079620936597,1,0,0,1,0,0,0,0,1,0,0
0,1,1,1.4915401492832985,1,0,1,1,1,1,0.5712695581381809,1,0,0,0,0,1,1,0,0,0,0
1,1,0,-0.31525192014030823,1,0,1,1,0,1,1.2036754180380917,0,1,0,1,0,0,0,0,1,0,1
0,0,0,0.4735310562825394,0,0,0,1,0,1,-0.5221928679711283,1,0,0,0,1,0,0,0,1,0,0
0,0,0,-0.03313244929415336,1,0,0,0,0,0,0.5217746732438411,0,1,0,1,0,0,0,1,0,0,1
0,0,0,0.1070477828022663,0,0,0,0,0,0,-1.462769970065154,0,0,1,1,0,0,1,0,0,0,0
1,1,0,1.6137012404433893,1,1,1,1,0,1,1.4885815022298807,0,1,0,0,0,1,1,0,0,0,0
0,1,1,-1.1329181691632493,0,0,1,0,1,0,-0.24355235365963657,1,0,0,1,0,0,0,0,0,1,1
0,1,1,1.5322605130033284,1,0,0,0,0,0,-1.3530913680541898,0,0,1,0,0,1,0,0,0,1,0
0,1,0,0.188488510242327,0,0,0,0,0,0,-1.4760643460664828,0,0,1,1,0,0,1,0,0,0,0
0,0,0,-0.2930330021938015,1,0,0,0,0,1,0.9616846882162444,0,1,0,1,0,0,0,0,0,1,1
1,1,0,-1.1960038562387048,1,0,1,1,0,1,1.3672703212177542,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-1.2774445836787656,1,0,0,0,0,1,0.3436033691154218,0,1,0,1,0,0,0,0,1,0,0
0,0,0,-0.9621147096382618,0,0,0,0,0,1,0.49214196001085203,0,1,0,1,0,0,0,0,1,0,1
0,0,0,0.12273920956843765,1,0,0,0,0,1,0.7009799196993375,0,1,0,1,0,0,0,0,1,0,1
0,1,1,-0.08875471367785026,1,0,0,0,0,1,-0.37737483423925944,1,0,0,0,1,0,0,1,0,0,1
0,1,0,0.3513699651224484,1,1,1,1,1,1,1.6300228598345987,0,1,0,1,0,0,1,0,0,0,1
0,0,1,-0.8351935782755626,1,1,0,0,0,1,0.4505371641303363,0,1,0,1,0,0,0,0,1,0,1
1,1,0,1.4915401492832985,0,1,1,0,0,0,-0.2729233179462098,1,0,0,0,0,1,0,1,0,0,0
0,0,0,0.9621754209229036,0,1,0,1,0,0,-0.4008816869590011,1,0,0,0,1,0,0,0,0,1,0
1,0,0,0.3513699651224484,1,0,0,1,0,1,1.1180007711928357,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-0.13345587010762733,0,0,0,0,0,1,0.6717761133201583,0,1,0,1,0,0,1,0,0,0,1
0,0,0,0.7992939660427822,1,0,0,1,0,1,0.8205391081630994,0,1,0,0,0,1,0,1,0,0,0
0,1,1,-0.9924020376385532,0,1,1,0,0,0,-0.3360716039525224,1,0,0,1,0,0,0,0,0,1,0
0,1,1,1.6137012404433893,1,1,1,1,1,1,1.3739175092184182,0,1,0,0,0,1,0,1,0,0,0
1,0,0,0.7069607826254494,1,0,1,0,1,1,1.000605878646867,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-1.2774445836787656,0,0,0,0,0,1,-1.4816844199679073,0,0,1,1,0,0,0,0,0,1,1
0,1,0,1.6137012404433893,0,1,1,1,0,1,-0.5172074769706297,1,0,0,0,0,1,0,0,1,0,0
0,0,0,0.0256070553622056,1,1,1,0,0,1,-0.128346978931757,1,0,0,1,0,0,0,0,0,1,0
0,1,1,1.6137012404433893,0,0,0,0,0,0,-1.4544609850643233,0,0,1,0,0,1,1,0,0,0,0
0,1,1,0.8400143297628127,0,0,1,0,1,0,0.0079203750818651,1,0,0,1,0,0,0,1,0,0,0
0,0,0,-0.3408762181180675,0,1,0,0,1,0,-0.3261008219515255,1,0,0,1,0,0,0,0,1,0,0
0,1,1,-0.6666391278783103,1,0,0,1,0,1,0.8654076271675846,0,1,0,1,0,0,1,0,0,0,0
0,1,1,-0.3408762181180675,0,0,0,0,0,0,-1.491020519067978,0,0,1,0,1,0,0,0,0,1,0
0,1,1,-1.0738427650786138,0,0,0,0,0,0,-1.502653098069141,0,0,1,1,0,0,0,0,0,1,0
0,1,0,1.1657772395230557,0,0,0,0,0,0,-1.479387940066815,0,0,1,0,0,1,0,1,0,0,0
0,0,0,-0.5851984004382496,1,0,0,0,0,0,0.3120292261122658,0,1,0,1,0,0,0,0,0,1,0
0,0,0,0.1070477828022663,0,0,0,0,0,0,-1.439504812062828,0,0,1,0,0,1,1,0,0,0,0
0,1,0,0.3106496014024181,1,0,1,0,0,1,1.2143849972024705,0,1,0,1,0,0,0,0,1,0,1
0,0,1,0.2699292376823877,1,0,0,0,1,0,1.1894580421999783,0,1,0,0,0,1,0,0,0,1,0
0,0,0,-1.1284129073098512,0,0,1,1,0,1,0.5712450109249794,0,1,0,1,0,0,0,0,1,0,1
0,1,1,-1.1145631287986442,1,1,1,0,1,0,-0.0120211889201281,1,0,0,1,0,0,0,1,0,0,0
0,1,1,0.3106496014024181,1,0,0,0,0,0,-1.3132082400502028,0,0,1,0,0,1,0,1,0,0,0
0,0,0,-1.2367242199587352,1,0,0,0,0,1,0.36113884178652195,0,1,0,1,0,0,0,0,1,0,1
0,0,0,0.3920903288424788,0,0,0,0,0,1,-1.502653098069141,0,0,1,0,1,0,0,0,0,1,0
0,1,1,-0.9896300813371091,1,0,0,0,0,1,0.3154206941919848,0,1,0,1,0,0,0,1,0,0,1
0,0,0,-0.9516816739185228,0,0,0,0,0,1,0.785641371159611,0,1,0,1,0,0,0,0,0,1,0
0,0,0,-1.18744688342096,1,0,0,0,0,0,0.7748264728946134,0,1,0,1,0,0,0,0,0,1,1
0,0,0,-0.5444780367182193,0,0,0,1,1,0,0.8371570781647607,0,1,0,1,0,0,0,0,0,1,0
0,0,0,-0.9924020376385532,0,0,0,0,0,1,0.5097830691320341,0,1,0,1,0,0,1,0,0,0,1
0,1,0,0.5956921474426305,0,0,0,1,0,1,0.682609957149311,0,1,0,1,0,0,0,0,1,0,1
1,1,0,-0.1521584267499116,1,0,1,1,0,1,1.0327849624894883,0,1,0,1,0,0,0,0,1,0,1
1,1,0,0.188488510242327,1,0,0,0,0,1,0.9219087251732327,0,1,0,1,0,0,0,0,1,0,1
0,1,0,-1.2774445836787656,0,0,0,0,0,1,0.1458495260956535,0,1,0,1,0,0,0,0,1,0,1
0,0,0,1.0436161483629645,0,0,1,1,1,0,0.1774236690988095,1,0,0,0,0,1,1,0,0,0,0
0,1,0,1.247217966963116,1,0,0,1,1,0,0.4998122871310375,1,0,0,0,0,1,0,1,0,0,0
0,0,1,0.8400143297628127,0,1,1,0,1,0,-0.0635368959252781,1,0,0,0,1,0,0,1,0,0,0
0,0,1,-0.9924020376385532,0,0,0,0,0,0,-1.4860351280674795,0,0,1,1,0,0,0,0,0,1,0
0,0,0,-1.2566030363187817,1,0,0,0,0,1,0.6625659250057929,0,1,0,1,0,0,0,0,0,1,1
0,0,0,0.8148308824637235,1,1,1,0,1,1,1.4699580994259869,0,1,0,0,0,1,0,0,1,0,1
1,1,0,-1.2774445836787656,0,0,0,0,0,1,0.1890562480999726,0,1,0,1,0,0,0,0,0,1,1
0,0,0,-0.5444780367182193,1,0,1,0,0,1,1.1695164781979852,0,1,0,1,0,0,0,0,1,0,1
0,1,0,1.002895784642934,0,1,0,1,1,1,-0.4939423189683041,1,0,0,1,0,0,1,0,0,0,0
0,0,0,-0.24036663142648584,1,1,1,0,0,1,1.0063941651444386,0,1,0,1,0,0,0,1,0,0,1
0,0,0,-0.4630373092781585,0,0,0,0,0,1,-1.4893587220678115,0,0,1,1,0,0,0,0,0,1,0
0,1,1,-1.0456792532867132,1,0,0,0,1,1,0.5551156375601634,0,1,0,1,0,0,0,0,1,0,1
0,1,0,-0.4630373092781585,0,1,0,1,1,0,0.5363718211346925,1,0,0,0,1,0,0,0,0,1,0
0,0,0,-0.8702409464784621,0,1,0,1,0,1,0.4898415051300408,0,1,0,1,0,0,1,0,0,0,0
0,0,0,1.1657772395230557,1,1,1,1,1,1,1.6730409692483204,0,1,0,0,1,0,0,0,0,1,0
0,0,0,-1.1552834925186746,0,0,0,1,0,1,0.3037202411114352,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-0.7888002190384014,1,0,0,0,0,1,0.7042133181514708,0,1,0,1,0,0,0,0,1,0,0
0,1,0,0.9214550572028734,1,0,1,1,0,1,0.9867188081797118,0,1,0,1,0,0,0,1,0,0,0
0,1,1,-0.9581086592451615,1,0,0,0,0,1,0.6837471839364332,0,1,0,1,0,0,1,0,0,0,1
0,0,0,-1.2774445836787656,0,0,0,1,0,0,0.6337749151914995,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-0.9516816739185228,0,0,0,0,0,1,0.5267377678802204,0,1,0,1,0,0,0,0,1,0,1
1,1,0,1.3286586944031769,0,0,1,1,1,1,1.3656085242175875,0,1,0,0,0,1,0,1,0,0,0
0,0,0,-0.9924020376385532,1,0,0,0,0,1,-0.183186279937239,1,0,0,1,0,0,0,0,1,0,0
0,1,0,1.3286586944031769,0,1,0,1,0,1,-0.3194536339508612,1,0,0,1,0,0,0,0,0,1,0
0,1,0,0.4049175839369161,1,0,1,1,0,1,1.0245623791454685,0,1,0,1,0,0,1,0,0,0,1
0,1,1,-0.2594354906780068,0,0,0,0,0,0,0.4715617381282135,0,1,0,0,1,0,1,0,0,0,0
0,0,0,-1.2774445836787656,0,0,1,0,0,0,0.3668685271177476,0,1,0,1,0,0,0,0,1,0,1
0,0,0,0.7992939660427822,0,1,0,1,1,0,-0.2263930019415581,1,0,0,0,1,0,0,1,0,0,0
1,1,1,0.0663274190822359,1,0,1,1,1,1,1.4669781412277214,0,1,0,1,0,0,0,0,1,0,0
0,0,0,-0.6666391278783103,1,0,1,0,0,0,-0.3144682429503628,1,0,0,1,0,0,0,0,1,0,0
0,1,1,-0.8295205827584317,0,0,0,0,0,0,-1.4710789550659844,0,0,1,1,0,0,0,0,0,1,0
0,1,1,-1.2774445836787656,0,0,0,0,0,1,-1.4685673843631288,0,0,1,1,0,0,0,0,0,1,1
0,1,1,-1.1960038562387048,0,1,1,0,0,0,0.8338334841644282,0,1,0,1,0,0,0,0,1,0,0
0,1,0,-0.4223169455581282,0,0,1,1,0,1,-0.3344098069523561,1,0,0,1,0,0,0,0,0,1,0
0,1,1,1.2879383306831464,1,0,1,1,0,1,0.9335413041743956,0,1,0,0,1,0,0,0,1,0,0
0,0,0,-1.1960038562387048,0,0,1,0,0,0,1.0182929511828682,0,1,0,1,0,0,0,0,1,0,0
0,1,0,0.1477681465222966,0,0,0,0,0,0,-1.4594463760648215,0,0,1,0,1,0,1,0,0,0,0
0,1,1,1.3286586944031769,1,1,1,0,1,1,1.1396041321949948,0,1,0,0,0,1,0,1,0,0,0
0,1,0,-0.6941984103101966,0,0,0,1,0,1,-0.7954162091848881,1,0,0,1,0,0,0,0,1,0,1
0,0,0,0.5549717837226001,0,0,0,1,1,0,-0.346042385953519,1,0,0,0,0,1,0,1,0,0,1
0,1,1,0.7178532386027215,1,0,0,0,0,1,0.6526976111463211,0,1,0,1,0,0,1,0,0,0,1
0,1,0,0.1070477828022663,1,0,0,0,1,1,0.8338334841644282,0,1,0,1,0,0,1,0,0,0,0
0,0,0,-1.2499514372206597,1,0,1,0,0,1,0.5421626184762733,0,1,0,1,0,0,0,0,1,0,1
0,1,1,-0.3408762181180675,1,0,0,0,0,1,-1.3514295710540236,0,0,1,0,0,1,1,0,0,0,0
0,1,1,0.5549717837226001,1,0,0,0,0,0,-1.3248408190513656,0,0,1,0,1,0,0,0,1,0,0
0,0,0,-0.62591876415828,0,0,0,0,0,1,0.1741000750984774,0,1,0,1,0,0,0,0,1,0,1
1,1,0,-1.1552834925186746,1,0,0,0,0,1,0.6144762801425001,0,1,0,1,0,0,0,0,1,0,0
1,1,0,-0.3569115124835518,1,1,0,0,0,1,0.4692197440562322,0,1,0,1,0,0,0,0,1,0,1
0,1,0,-1.2774445836787656,0,0,0,0,0,1,0.1392023380949889,0,1,0,1,0,0,0,0,1,0,1
0,1,0,0.4735310562825394,0,1,1,0,1,1,-0.1632447159352455,1,0,0,0,1,0,1,0,0,0,0
0,1,0,0.0663274190822359,1,0,0,1,0,1,1.1728400721983174,0,1,0,1,0,0,0,0,1,0,1
0,1,1,0.6364125111626608,0,0,1,1,0,1,-0.2978502729487016,1,0,0,0,1,0,0,1,0,0,0
0,1,1,1.6137012404433893,1,0,0,0,0,0,-1.3148700370503688,0,0,1,0,0,1,1,0,0,0,0
0,0,0,-1.2018255545438798,0,0,0,0,0,1,-1.494106529709627,0,0,1,1,0,0,0,0,0,1,1
1,1,0,0.26614754469768703,1,0,0,0,0,1,0.4176006329098519,0,1,0,1,0,0,0,0,1,0,1
